Game,Score,Steps,Epsilon
707,83,2185,0
708,37,770,0
709,67,1534,0
710,77,1942,0
711,52,1120,0
712,65,1530,0
713,61,1644,0
714,70,1671,0
715,56,1172,0
716,71,1663,0
717,59,1117,0
718,41,903,0
719,76,2020,0
720,66,1453,0
721,44,951,0
722,79,2245,0
723,55,1326,0
724,59,1481,0
725,53,1208,0
726,54,1173,0
727,68,1656,0
728,53,1260,0
729,73,1888,0
730,67,1496,0
731,63,1395,0
732,65,1774,0
733,59,1328,0
734,73,1926,0
735,63,1404,0
736,49,1035,0
